,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,class
92,6.18535088824367,6.01879417207675,6.37184583278282,6.50424742877907,22.6910899586509,6.16978606216587,6.50284230322061,6.81002187781055,26.9664701264004,5.77955134986935,0
93,5.93778470561466,5.79894279049796,6.34366673605532,7.1481975892012,28.708069456038,5.87419876078894,6.38189323431742,6.19809978763944,21.7317749250581,5.87737201478901,4
94,6.2996897801508,6.1543333842741,5.9464539176613,25.4555586422986,16.5849701087594,6.03535507936402,5.96101844269644,6.03231767864376,15.5325580531547,5.99774491299685,3
95,5.30566205184704,5.16419470986632,5.15286208099631,5.02934816696736,38.5500605294652,6.27494804320537,4.79867440025779,4.78035398868597,19.4373146750517,5.50658135365685,4
96,6.56226048832507,5.10235899338941,5.08318665436702,46.5857587533734,5.63379323671378,6.33767593041721,4.98330841051056,4.82009615858018,9.19949291430325,5.69206846002012,1
97,6.11529229563795,6.11007303645479,6.06619560393436,6.86382252599058,26.502564559674,6.06518651637979,6.16159831422422,6.25880472846927,24.1889752728836,5.66748714635144,4
98,5.59021520757014,5.91749238887921,6.06015937624442,6.4126110896936,22.8980118636738,5.55787392860904,6.1286285266774,6.1928897438805,29.5874749469643,5.65464292780755,0
99,5.80038529086169,6.00752246444397,6.88153066427739,6.92210020387335,22.8768072858374,6.14717926268111,6.31368112947971,6.48471534306824,26.0127137341433,6.55336462133386,0
100,6.31601479947591,6.56590741248357,6.68171692521375,6.9435881569415,22.5865922236735,6.26283797727355,6.75705075021492,6.77377955611557,24.7016493392933,6.41086285931445,0
101,4.80993630841481,5.05863598414589,5.63165459683138,5.62844352040445,21.8513166445264,4.78355336015694,5.62354273728443,5.37098963281834,36.1524046701837,5.08952254523369,2
102,5.62675635844676,5.7126858787665,5.92576356184823,8.07846232153418,20.6244888014494,5.74469249646438,6.25641694147048,6.40623293622089,29.9917375937085,5.63276311009066,0
103,6.04037911338032,6.31728633099737,6.35360679719559,6.71817894567554,24.0736597507898,6.15803798268424,6.39508278776754,6.37888245465977,25.6967701582967,5.8681156785531,0
104,5.7000859427746,5.73780385432629,6.33664884880105,7.19628441598877,15.4283573719283,5.85069419991319,5.98798351575503,6.4966976905394,35.2269576082976,6.03848655167569,2
105,5.96510001495813,6.45884030381598,6.43606935403453,7.82941743629757,14.3814777076967,5.76404090058016,6.82035456214276,6.14596912198065,34.4214279650794,5.77730263341408,2
