,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,class
916,4.42199373303394,10.3531210071904,5.31144327303587,31.2429107876689,4.74715688173989,4.60983760566832,11.1939940012936,4.74285235616436,5.36061824866143,18.0160721055433,2
917,5.54061163532753,8.91893966569531,5.73947991189692,30.5035194074078,5.2151295745858,5.43015425291763,12.3198348483206,5.96206256536711,6.33835416376533,14.031913974716,2
918,3.8222255614444,10.7219028429861,4.17686425120584,44.3468113382501,4.27502831816612,4.09409858775192,4.95240076641662,3.85693766376261,5.55038536065871,14.2033453093576,4
919,3.05948682515716,7.49972347531249,3.94743879275227,40.1453833191275,3.72478017499803,3.32215794460847,4.07931707397235,3.96114015707765,4.80203688186544,25.4585353551286,1
920,3.25951876649308,6.48145901373138,4.11976181534168,39.6550158425864,3.5465745914423,3.32008493626038,9.23453479674512,4.29811914538292,4.40877811571827,21.6761529762985,1
921,5.22928059888347,9.07238110299448,5.55625278363005,33.9729462559772,5.24863407720736,4.86433587081639,6.15728547499852,5.11285406907593,6.19196186710837,18.5940678993082,1
922,3.18678928346941,6.89339630778364,4.78258751397935,41.3074697751189,3.81150282484486,3.46682344812033,11.9415653616121,3.89831347311075,5.00996453843187,15.7015874735288,1
923,4.93418938504442,12.4441154097252,5.13081354735293,39.6793847527705,5.0088019427776,4.82159124031028,5.10016802084676,4.46409653639035,6.48319208250099,11.933647082281,1
924,4.59505901034136,5.31995373856142,4.63761925531097,13.9155614783381,5.21130446833647,4.54241824938986,6.95725987659951,4.57800097823449,3.93877765099706,46.3040452938907,0
925,2.75823843324783,4.50147622809744,3.89884047955132,25.715821463334,3.49984758800529,3.13771755099313,5.00543826419666,3.71574293503031,4.11031798360351,43.6565590739405,0
926,5.43850345022152,8.17295406359217,5.40818469222425,27.2368254563376,4.98636038624972,5.43168329363562,9.36024687028715,5.22272907552114,6.04584832390008,22.6966643880307,2
927,3.64375960331424,5.26608610527656,4.11475279460949,24.8935661622118,3.98860507065168,3.85237033585071,3.99819064858608,4.17029356878329,3.88939685336493,42.1829788573513,0
928,3.74101553116172,8.29415188353127,4.92914641627088,37.0816732317836,4.28655147201091,3.89605267769316,5.65600719606925,4.32052103582355,5.2778112278973,22.5170693277584,1
929,4.3489845354586,7.47790301925023,5.21741949874522,18.7353832701019,4.39827353392635,5.13393875319661,23.226717847787,5.61936577910181,5.54486257680818,20.2971511856241,2
930,4.05315114871579,7.20934006675674,4.98544683976286,33.9941050364229,4.4981958735266,4.57509587434449,6.49690606025345,4.69502050265519,5.4115643939508,24.0811742036112,1
931,3.89313034979478,6.85594656493228,4.64711646905984,31.2302137954475,4.23910808304999,4.15374473061653,6.766884789103,4.70023412709017,5.01890098061808,28.4947201102878,2
932,3.06039955922071,6.12512800672738,3.73908126349771,27.7054946196873,3.72421463501052,3.48585491645863,5.38572608727197,4.03173103869049,4.13683322700568,38.6055366464296,0
933,3.01097448432653,6.71675445538019,3.70333976076417,46.4648012283456,4.39158702643531,3.55763732270562,4.67427055537634,3.65254699865037,4.66688718037144,19.1612009876445,4
934,2.78468033401398,5.82343266948705,3.55845497890073,26.1913433393264,3.04854661825231,3.25299373582088,4.10771174770206,4.30193080512037,3.8633306303996,43.0675751409766,0
935,3.47980393542123,7.00637527029223,4.3308989761591,39.5882648593282,3.96077729240945,4.01657770645877,5.55894474835617,4.06697553061543,4.91345960525543,23.077922075704,1
936,3.35925852937262,6.85690466274332,4.20694491729248,38.9072737716941,3.77796118306842,3.59014330445798,5.3449386492933,4.07670666000437,4.70484967841678,25.1750186436566,1
937,4.12594172675714,6.99703585830002,4.85520429522817,33.0329647754446,4.44014424119515,4.33689271543359,6.19622157194518,4.74947703569401,5.20123363701878,26.0648841429834,1
938,3.55064347929414,6.18001240448473,4.48947462885515,26.8726275822511,3.99468173282865,4.05984797503804,6.53344525230015,4.78401872669338,4.68340419235071,34.851844025904,2
939,4.98648285203803,8.46476377370177,5.10037424512657,31.6824535590266,4.64883678951405,4.97143108646007,14.6619879464271,5.50358745733274,6.15613155826809,13.823950732105,1
940,3.89607727770283,4.88836842429599,4.53145405539346,19.4309431804213,4.451191473182,4.36896814548062,4.34447964099858,4.57162169148208,4.46969022400809,45.0472058870351,0
941,3.85976823321174,7.30685968049459,5.11200101967247,37.0633908590873,4.44648765476507,4.23454520633745,5.19489232740573,4.43274047583532,5.20580474053337,23.143509802657,1
942,4.29520477492906,7.53011321777305,5.07750677847619,36.2795963388633,4.60742648546529,4.42010124706887,5.99001728428903,4.78607582995537,5.46563299446651,21.5483250487134,1
943,4.31946997752231,7.560345883896,4.97972970254417,30.7074240713351,4.64102624208922,4.63976456757327,6.04845309028995,5.31314920179911,5.46831351837449,26.3223237445764,2
944,5.36888529166015,7.20871856938725,6.68918194853309,30.7691054084558,5.71353714128629,5.50161446315616,9.28295111625991,5.5665783381102,6.71608288334204,17.1833448398092,2
945,3.28899703889529,8.93624048507761,3.94698853216115,38.3147797641292,3.58020461751514,3.72655844234807,4.56277306832394,3.58049237289466,4.74846286985933,25.3145028087956,1
946,3.07649819179953,6.24503077423877,4.02789545765093,38.8741032112494,3.4572635301188,3.36377741834305,4.83708942622822,3.78445493666785,4.46570140013989,27.8681856535636,1
947,2.99706839229528,8.98550960679477,4.23222452756895,39.1583324778958,3.66606830843836,3.40888364743715,5.5327141032196,3.76379620275832,5.21234350636345,23.0430592272284,1
948,4.27478316366672,7.7525898585185,5.12656822228821,30.4784019135599,4.25122294574252,4.18938920240458,6.65489027496574,5.72320441203755,5.07309803083931,26.475851975977,2
949,4.45525800030083,6.62680493377649,5.33041766119683,28.1204297239469,4.16633065451752,4.04457464600841,14.9804366694041,5.31337412648497,4.98148653121973,21.9808870531442,2
950,4.7186373398972,8.18811820490897,5.98120729725181,31.8192295516863,5.15363056561303,4.81131729169583,6.20192352276852,5.1476331038316,5.86893296101725,22.1093701613294,1
951,3.72676554876149,5.57353896513266,4.062603188433,57.4194100517697,3.97432841031004,3.11846364649003,3.68893186873601,3.87052730384061,5.28444357265583,9.28098744387067,4
952,2.42565296199376,6.12618056087985,3.25113736748884,36.1247662465237,2.79207530663798,2.81392744734219,3.55388095475631,3.81844338823767,4.01073686958572,35.083198896554,1
