 331 , Harry Potter and the Prisoner of Azkaban - J. K. Rowling  ,        0 , 304.665860359181
 332 , Harry Potter and the Prisoner of Azkaban - J. K. Rowling  ,        1 , 254.892635707748
 333 , Harry Potter and the Prisoner of Azkaban - J. K. Rowling  ,        2 , 498.250502355629
 334 , Harry Potter and the Prisoner of Azkaban - J. K. Rowling  ,        3 ,  265.04760765288
 335 , Harry Potter and the Prisoner of Azkaban - J. K. Rowling  ,        4 , 255.612686418669
 336 , Harry Potter and the Prisoner of Azkaban - J. K. Rowling  ,        5 , 269.627893184087
 337 , Harry Potter and the Prisoner of Azkaban - J. K. Rowling  ,        6 , 269.066532851634
 338 , Harry Potter and the Prisoner of Azkaban - J. K. Rowling  ,        7 , 254.284388892323
 339 , Harry Potter and the Prisoner of Azkaban - J. K. Rowling  ,        8 , 532.049887729259
 340 , Harry Potter and the Prisoner of Azkaban - J. K. Rowling  ,        9 ,  268.92760758105
 341 , Harry Potter and the Order of the Phoenix - J. K. Rowling ,        0 , 198.721841132054
 342 , Harry Potter and the Order of the Phoenix - J. K. Rowling ,        1 , 173.242867556232
 343 , Harry Potter and the Order of the Phoenix - J. K. Rowling ,        2 , 230.478214559567
 344 , Harry Potter and the Order of the Phoenix - J. K. Rowling ,        3 , 180.868546933463
 345 , Harry Potter and the Order of the Phoenix - J. K. Rowling ,        4 , 174.871522755707
 346 , Harry Potter and the Order of the Phoenix - J. K. Rowling ,        5 , 185.915953272744
 347 , Harry Potter and the Order of the Phoenix - J. K. Rowling ,        6 , 180.081769969146
 348 , Harry Potter and the Order of the Phoenix - J. K. Rowling ,        7 ,  179.26015579027
 349 , Harry Potter and the Order of the Phoenix - J. K. Rowling ,        8 , 439.755959096668
 350 , Harry Potter and the Order of the Phoenix - J. K. Rowling ,        9 ,  182.76429414654
 351 , Harry Potter and the Goblet of Fire - J. K. Rowling       ,        0 , 459.057591364625
 352 , Harry Potter and the Goblet of Fire - J. K. Rowling       ,        1 , 403.595334854664
 353 , Harry Potter and the Goblet of Fire - J. K. Rowling       ,        2 , 591.004926661064
 354 , Harry Potter and the Goblet of Fire - J. K. Rowling       ,        3 , 424.625814284255
 355 , Harry Potter and the Goblet of Fire - J. K. Rowling       ,        4 , 405.763741238831
 356 , Harry Potter and the Goblet of Fire - J. K. Rowling       ,        5 , 434.641211401565
 357 , Harry Potter and the Goblet of Fire - J. K. Rowling       ,        6 , 411.669211099362
 358 , Harry Potter and the Goblet of Fire - J. K. Rowling       ,        7 ,  407.45702839597
 359 , Harry Potter and the Goblet of Fire - J. K. Rowling       ,        8 , 997.070769327873
 360 , Harry Potter and the Goblet of Fire - J. K. Rowling       ,        9 , 416.351152579226
