,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,class
0,8.45902954113954,14.7054868123111,9.6173996480555,8.29726977201245,8.50617422511521,8.98824817544497,9.93423645878385,8.42578026185449,13.0265281374193,10.0398469678635,2
1,8.95021997364461,10.9106700483413,9.64913845884591,8.66379751585239,8.75584982895224,9.31974693050143,12.5824955413319,9.07564259266221,11.5522543405554,10.5401847693126,3
2,8.93373039196326,11.1148759790532,9.78173053270399,8.75700960314889,8.81439912754744,9.32955334380708,12.4721643602761,9.03406079237672,11.347855100052,10.4146207690713,3
3,8.36462624754421,12.3022242412098,9.76254058657903,8.12941845832852,8.02208312177923,8.56855967152665,10.0128064963078,8.62186779720795,17.0835078257425,9.13236555377437,0
4,8.21522328865002,15.4987546582709,9.47162533337971,7.95501146890556,8.11153916460697,8.54178260521643,9.39839951211861,8.38520385522177,13.2994123867227,11.1230477269074,2
5,8.3942725649117,14.5022086372189,9.62594567954286,8.05845895007327,8.35143603379356,9.32463989265663,10.3261800758781,8.33834150449413,13.255001913612,9.82351474781875,2
6,9.11437421157436,11.9338190658347,10.9368980895462,8.94689529619015,8.5238631029737,8.5650290314919,8.79937453094697,8.63793863934375,13.7681769343464,10.7736310977518,1
7,8.59995382021257,11.6898119260574,10.107360551872,8.54447939353485,8.23679337611366,8.75400141035516,10.1591517167632,8.72017833018544,15.7260453512929,9.4622241236128,0
8,8.04730788105005,14.1833738469102,13.8170485551707,7.88260206774699,7.71196473618041,8.40446600071917,9.71986690807592,8.17779077850746,12.6006407352221,9.4549384904171,1
9,8.65108286773043,13.13626310398,9.98509873055547,8.2961312193187,8.25794622089422,8.58484803270406,9.35061185919241,8.47425992802119,15.3600319860483,9.9037260515552,0
10,8.60512084931221,14.9786105874855,9.96184489076791,8.73163576650177,8.42000927020283,8.8622864023316,9.29623039861225,8.6123472259386,11.6650456576973,10.86686895115,2
11,8.45511299192972,14.2650840331613,10.0381939960287,8.57129270002296,8.34082231147729,9.08901587186942,10.0925921847378,8.5483204526158,12.0405483209279,10.5590171372291,2
12,8.65022366645126,12.0002853457359,9.96655458004389,7.96626422651547,8.13587321038311,8.4431617919006,10.0219316905602,8.55460394546641,16.731554648108,9.52954689483523,0
13,8.42120402853829,11.4920080344591,8.89947501402852,8.14004355947689,8.29105026780432,8.7374533693712,9.47479193829601,8.4776768919471,16.7535826715282,11.3127142245504,0
14,8.30368922752945,13.3670838683642,13.991247914974,8.1112005685898,7.88405046804085,8.5166115414997,9.28642802058368,8.37679999036181,12.4297325559482,9.73315584410834,1
15,8.54401962764277,14.3694546283775,10.0069051134694,8.51362158369666,8.41366259450307,8.86267991867427,9.36001763771799,8.64678145169241,11.8580256172282,11.4248318269978,2
16,8.19221773364103,13.5060514111248,10.5320856260412,7.60369560662396,7.56737796568209,8.0857840491422,9.62298287592222,8.01815817631587,16.4637254900192,10.4079210654874,0
17,8.10522461865288,12.1721773746321,10.8983297080976,7.77495778836131,7.89594562355166,8.25438646383797,9.89220411127188,8.17764329680704,15.7782405950952,11.0508904196925,0
18,8.01619054008092,13.3834967790656,9.01377015546844,7.57544517906747,7.79323817288444,8.66537803380651,10.1216947502363,8.33575192028226,13.5908221627753,13.5042123063327,4
19,8.50503710523289,13.2255080753403,9.537401113714,8.21857794178026,7.92467078097593,8.53250911752432,11.3589497246622,8.96345517576101,13.8157501137382,9.91814085127096,3
20,8.47021309777152,15.1577854288327,10.114615929204,8.09415211976336,7.8432301952046,8.6310035999892,9.19421229266519,8.29734501423903,14.0691933075297,10.1282490148007,2
21,8.09691399084512,13.2477637326591,8.62356538349901,7.81394115581576,7.95150671251031,8.61473784988298,9.64787961120873,8.08453864807501,14.8040828241985,13.1150700913055,4
