,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Class,Entity,Book
0,5.47438490830788,23.2958969645,5.62213822193328,17.8914967539175,5.12015680338359,5.2278279741382,5.34866476013968,19.5196990334657,7.04427499798299,5.45545958223115,0,wizarding,Harry Potter and the Order of the Phoenix - J. K. Rowling
1,5.36060550532829,23.8408764513852,5.16481508086869,12.363342209984,4.90533554925924,4.11260661747858,5.19807568615482,23.3829489217571,10.7700897296659,4.90130424811817,2,creatures,Harry Potter and the Prisoner of Azkaban - J. K. Rowling
2,4.94531895109614,22.5900363752754,4.84064219161806,12.6109990494832,5.02015760664833,4.9277963791401,5.42527515391619,25.771862842359,8.69753333636243,5.17037811410109,2,cooperation,Harry Potter and the Order of the Phoenix - J. K. Rowling
3,5.01233293913995,26.8722976966199,4.88281031046658,13.0461837174693,5.03106257253939,4.648109129565,5.17830507879202,24.6627100256081,6.05125552856639,4.61493300123329,4,rubeus,Harry Potter and the Deathly Hallows - J. K. Rowling
4,5.54423464553521,25.46065894279,5.43775776878931,15.5112260690218,5.11581711584129,5.25581101915856,5.55189938525921,19.8946260704202,6.67023505990364,5.55773392328076,0,scrimgeour,Harry Potter and the Half-Blood Prince - J. K. Rowling
5,5.64818140029915,19.2986946468018,5.44124807030991,18.960254596807,5.88340164118666,6.53393864078381,5.65962210821534,19.710304356571,7.17736200836317,5.68699253066203,9,west,Harry Potter and the Sorcerer's Stone - J. K. Rowling
6,4.96289867217411,18.4379536713669,4.45306713547661,23.1333633459821,5.81143049199576,6.85107450175755,5.67947813155995,17.893503357015,7.57693700412095,5.20029368855119,3,adrian,Harry Potter and the Sorcerer's Stone - J. K. Rowling
7,6.4305470411412,18.6730025212308,5.7206734173066,18.0649523301748,6.05654437875242,6.01008797571982,6.04592651358511,15.4749970902923,11.0079750608249,6.51529367097203,3,weasleys,Harry Potter and the Sorcerer's Stone - J. K. Rowling
8,5.72179680200135,22.2761464742447,5.74717361186358,19.1680115085353,6.59479151824942,5.77296988700913,6.47265705190654,15.2323324182194,6.99247923695271,6.02164149101797,3,avery,Harry Potter and the Deathly Hallows - J. K. Rowling
9,6.47472917558679,15.0077953313408,5.94565695632575,24.8509283951539,6.30925074640943,5.48784373183213,6.33326569354692,16.9860837283404,6.92146244112389,5.68298380033993,9,stanley,Harry Potter and the Deathly Hallows - J. K. Rowling
10,4.96289867217411,18.4379536713669,4.45306713547661,23.1333633459821,5.81143049199576,6.85107450175755,5.67947813155995,17.893503357015,7.57693700412095,5.20029368855119,3,pucey,Harry Potter and the Sorcerer's Stone - J. K. Rowling
11,6.09560985622099,24.3759065020135,5.71978603074142,16.9570998051331,5.33304906269614,5.55515968861291,5.29950270268968,17.9281752069741,6.68000087703864,6.05571026787954,0,gran,Harry Potter and the Deathly Hallows - J. K. Rowling
12,5.97785331101734,26.2999466965476,5.85309680725807,17.2384760005167,5.61424544916125,6.85405179450282,5.22421090299226,13.763698035608,6.92977483985496,6.244646162541,7,quentin,Harry Potter and the Sorcerer's Stone - J. K. Rowling
13,5.20841339892716,20.6275176780352,5.43013936519924,18.7534201474995,5.24931639002803,5.63887260391036,5.44642132540377,19.9996045332422,8.15990119537852,5.48639336237597,0,slytherin,Harry Potter and the Sorcerer's Stone - J. K. Rowling
14,5.57999771945888,20.6111706595152,5.52475661405027,21.7517164698212,5.27225800548306,5.48377016074172,5.491305216416,17.446500317926,7.28975616156202,5.54876867502569,3,hagrid,Harry Potter and the Sorcerer's Stone - J. K. Rowling
15,5.52463938427195,12.1150296020884,5.17065454900524,23.1609781937599,5.6190983900384,5.77866990249179,5.91861345122769,22.5914610610678,7.99393971945425,6.12691574659455,9,express,Harry Potter and the Sorcerer's Stone - J. K. Rowling
16,5.30794722418242,30.7667753523975,4.82644949140189,11.5424602667259,4.2713038978314,4.73393627249974,4.88330299071306,23.8665513203998,5.0119475616787,4.78932562216956,4,castle,Harry Potter and the Order of the Phoenix - J. K. Rowling
17,5.3020888470191,27.0352687899243,4.59263133941334,18.4751869920977,4.93240021151404,5.53790944684917,5.25069246556731,17.2077271721024,6.73917425456257,4.92692048095007,0,granddad,Harry Potter and the Deathly Hallows - J. K. Rowling
18,5.53302093127307,18.3745136827295,4.7577963166552,19.6837436271733,4.39645262347435,5.14620375830014,5.08047502694332,23.1163695195061,8.76473539789449,5.14668911605048,9,eton,Harry Potter and the Chamber of Secrets - J. K. Rowling
19,6.54880309643756,21.4077831381731,5.70466992568964,17.7980274259613,5.73702164758273,5.46307510361759,5.85098857312279,18.4949669110734,7.70222029259459,5.29244388574733,0,shield,Harry Potter and the Deathly Hallows - J. K. Rowling
20,5.32573398385769,32.8612310299703,5.08260156952216,9.01106969610656,4.3355728423116,4.71513426885029,4.49051726928988,22.2807199577391,5.99810258072126,5.89931680163123,4,midgen,Harry Potter and the Goblet of Fire - J. K. Rowling
21,8.09587347831383,22.4757334725319,6.25616411794255,17.0690074874396,6.02638072991525,6.21597703183028,5.85691656645739,13.5220060844745,8.13376205850035,6.34817897259434,3,wimbledon,Harry Potter and the Order of the Phoenix - J. K. Rowling
22,5.15581399858431,25.3205236180295,5.20018482656053,17.0963175672181,4.9210331822333,5.08375685337062,5.47895269893616,18.1847185261577,8.3649012128175,5.19379751609222,0,screechsnap,Harry Potter and the Order of the Phoenix - J. K. Rowling
23,4.39120870586529,21.9785813411671,4.92468107275121,17.0206147655553,4.80048493985981,5.3682871889596,4.76681811490467,25.6588717531395,6.59955746366156,4.49089465413602,2,grindelwald,Harry Potter and the Sorcerer's Stone - J. K. Rowling
24,4.90706347951697,21.7190416117868,4.928816456643,24.5747159562025,4.61703920488872,4.60725633960142,6.00584723589122,17.1108951831586,6.96870111815321,4.56062341415751,3,spinnet,Harry Potter and the Goblet of Fire - J. K. Rowling
25,6.24967975143021,19.4130891942208,6.44264338638698,18.1452830463255,6.15973396200235,5.96318061089448,5.96229166658859,18.544018691235,7.30605157104157,5.81402811987444,9,chang,Harry Potter and the Deathly Hallows - J. K. Rowling
26,3.66757503949704,22.5790586094545,3.95234023520281,15.8764700464639,3.56487496222769,3.75561458958511,3.42293732514794,34.5708828140389,4.71115516795071,3.89909121043132,8,doris,Harry Potter and the Order of the Phoenix - J. K. Rowling
27,5.50954422519856,22.8099722895389,5.5583333735256,19.2813469860159,5.15366002914903,5.68561349257723,5.48753330168811,17.1123851719397,7.88711471537846,5.51449641498856,0,catherine,Harry Potter and the Order of the Phoenix - J. K. Rowling
28,5.05738064318017,9.97879860832618,6.28355192261682,40.5310055337062,4.37033935219349,4.98809679942333,6.0240876550885,11.3396902681559,6.60101656455154,4.82603265275785,6,malkin,Harry Potter and the Deathly Hallows - J. K. Rowling
29,5.59034696073518,23.6011565928649,5.48436530997617,20.4957776372349,5.21892943079557,6.01423755576337,6.14940403786246,15.4507189931083,6.73109956844941,5.26396391320971,3,caps,Harry Potter and the Prisoner of Azkaban - J. K. Rowling
30,3.2195975306158,27.4097706054885,2.75972053125069,24.9947211077838,2.32812764023428,2.9295737780196,2.90146994918034,27.5185464985999,3.01454589977332,2.92392645905379,4,tibbies,Harry Potter and the Sorcerer's Stone - J. K. Rowling
31,5.37351343945154,22.1569609230325,5.73404732394147,17.592904396238,4.7633162757851,4.64867485678983,5.42575627687648,17.0771136738328,12.1646796193712,5.063033214681,0,abercrombie,Harry Potter and the Order of the Phoenix - J. K. Rowling
32,5.50920905643511,23.5332333365908,5.73148758940269,12.9525167630013,5.35480350783083,5.47800307383985,5.63366438558304,22.9882841127412,7.29661591757111,5.52218225700418,2,slinkhard,Harry Potter and the Order of the Phoenix - J. K. Rowling
33,5.68763282586055,27.6197971347285,5.70455436253222,14.2943554818338,5.34864895253748,5.40919772795142,5.7796249134169,17.8153889981798,6.63707176399729,5.7037278389621,4,department,Harry Potter and the Half-Blood Prince - J. K. Rowling
34,5.77919874703737,21.5596209710359,5.67200863174658,16.967451471293,5.51978413846074,5.37374752316132,5.72115655014349,19.7238985656317,7.93489985890249,5.74823354258747,0,cleansweep,Harry Potter and the Order of the Phoenix - J. K. Rowling
35,5.39732669304456,18.4721293227182,5.40388522549075,17.9029424406589,5.42082507340244,5.44333999928504,5.36396905366234,20.7887971542688,9.96896866263829,5.83781637483073,9,gudgeon,Harry Potter and the Order of the Phoenix - J. K. Rowling
36,3.11405222013663,20.0951992521627,3.64611156711,12.3867392462891,3.22103439051711,3.79715882227747,2.60855975064017,34.4266399004956,12.6370283895186,4.06747646085256,8,mother,Harry Potter and the Sorcerer's Stone - J. K. Rowling
37,5.23325572518298,22.061261323076,5.61412797786725,12.7335789717195,5.17443526525202,5.63993159075807,5.63535993752893,22.6985489299155,9.24778798588594,5.96171229281383,2,pettigrew,Harry Potter and the Half-Blood Prince - J. K. Rowling
38,5.82361310791758,23.6277648079658,5.27264111477286,21.9448804433654,5.07248853844426,5.18647362435146,5.53900755524326,14.5383756346582,7.57160685288909,5.42314832039213,3,portkey,Harry Potter and the Goblet of Fire - J. K. Rowling
39,5.73009595823189,22.57515204161,5.28952936277882,16.7846973067297,5.21355784178165,5.63899091656008,5.53027259075001,19.7608506607886,7.46945477322372,6.00739854754551,0,dilys,Harry Potter and the Order of the Phoenix - J. K. Rowling
40,5.81016677432598,20.0401727045899,5.05071714585502,13.8434568881113,5.25600221208662,5.16076433436558,5.27915209197958,28.1590651190038,6.27168046080424,5.12882226887801,2,cho,Harry Potter and the Prisoner of Azkaban - J. K. Rowling
41,5.36465873371929,22.7284213399834,5.47683461782194,13.61730193765,4.73645713123039,5.63429614041507,5.64555518145684,23.0783010768934,7.97701982687083,5.74115401395878,2,connolly,Harry Potter and the Goblet of Fire - J. K. Rowling
42,4.93967294661882,29.0415878972258,4.84730463259458,18.6611572605065,4.83611135718896,5.24713002335995,5.18450521318497,16.9014555709468,5.08916407145519,5.25191102691849,7,goyles,Harry Potter and the Half-Blood Prince - J. K. Rowling
43,4.57911298136087,25.2488277413579,4.50211291291519,17.0401901894192,4.53865413113581,4.81766088757049,4.75763276744462,19.5933481799785,9.67175713020922,5.25070307860815,0,ltd.,Harry Potter and the Order of the Phoenix - J. K. Rowling
44,5.32921310356468,17.6112908151662,3.98746342861236,31.5812454167474,4.0153385708865,6.90652980038475,5.84615762695315,9.88498267842052,9.3774333053832,5.4603452538812,1,congress,Harry Potter and the Sorcerer's Stone - J. K. Rowling
45,5.56675503801203,22.2438059545079,5.46559480559289,18.9017377231545,5.35357999191972,5.49039063842631,5.55131001694494,17.9282351826875,7.78484682886643,5.71374381988777,0,fred,Harry Potter and the Deathly Hallows - J. K. Rowling
46,6.24217971736182,23.9934911083723,5.68637756761587,16.896842784325,6.00144844636653,5.92403502354104,5.69425115956854,16.1193689439731,7.62876925279533,5.81323599608041,0,gabrielle,Harry Potter and the Deathly Hallows - J. K. Rowling
47,5.96421263807822,24.1794081430991,5.58627925051132,16.0130872240801,6.31473436294532,5.15439264864925,5.88523649328229,16.8799216129178,7.24537792692232,6.77734969951429,0,muggles,Harry Potter and the Sorcerer's Stone - J. K. Rowling
48,5.11627440606411,19.7152630759755,5.29939245403292,17.1030784984734,5.35960928475945,5.97155911653128,5.12897097322904,21.020564600745,9.35238187565102,5.93290571453822,9,pince,Harry Potter and the Chamber of Secrets - J. K. Rowling
49,3.9043700683635,11.3636833189596,3.52474685387976,46.8223384155413,4.33745393152756,5.11964144011595,3.41206569125306,11.4745265485541,5.58986435598602,4.45130937581907,6,cabinet,Harry Potter and the Deathly Hallows - J. K. Rowling
50,5.40543522689927,21.0915032130296,5.10887117172308,17.0110629278594,5.75327946677809,6.19062101877181,5.68080417896537,19.3570397774492,8.17195070371095,6.22943231481321,0,cliodna,Harry Potter and the Sorcerer's Stone - J. K. Rowling
