,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Class,Entity,Book
0,8.22469663119069,9.55450096568921,8.83742121552213,8.4371921399471,8.32550905794415,9.75676675112229,19.7571583046439,8.37029064264769,8.82761923896171,9.90884505233119,3,b.,Harry Potter and the Half-Blood Prince - J. K. Rowling
1,8.64061587122791,9.70801139559095,9.06597512826496,8.63733539680396,8.51530300246697,8.83741440627593,17.6450534004561,9.26984632558986,8.70147662425633,10.978968449067,1,ron,Harry Potter and the Chamber of Secrets - J. K. Rowling
2,8.19915454320308,9.40953604891221,8.58006748420696,8.27307917237427,8.3723637749928,9.03735729671586,20.2270473367346,8.64042374885757,8.87093923674469,10.390031357258,3,cornelius,Harry Potter and the Order of the Phoenix - J. K. Rowling
3,8.68184795052387,9.5062890193278,8.48492164039908,8.33478434600159,8.53682496000938,8.59758010028986,16.1123532358142,8.74516815397053,8.45480984469729,14.5454207489664,9,house,Harry Potter and the Prisoner of Azkaban - J. K. Rowling
4,8.52438520450011,8.97570104843337,8.89394742762848,8.31913773821832,8.86106308808018,9.21589691736004,19.4158825479699,8.6725827396462,8.6837540259422,10.4376492622212,3,longbottom,Harry Potter and the Deathly Hallows - J. K. Rowling
5,8.08221825773766,9.63660434380448,8.59763111846822,8.35882389402668,8.14321177999878,8.64101275117147,17.4231531811522,8.65652444450768,8.68178277303172,13.7790374561011,2,trelawney,Harry Potter and the Prisoner of Azkaban - J. K. Rowling
6,8.28374142533756,9.21557012815478,8.74196251800617,8.4107306511802,8.50758706908753,9.72946118652565,19.4305091226086,8.57310478488946,8.47351785450495,10.6338152597051,3,hermione,Harry Potter and the Half-Blood Prince - J. K. Rowling
7,8.71559662319214,10.0767180053218,8.30055622401505,8.04811214082266,8.18610538852632,8.47914455694424,18.8840685014636,8.64591754107007,8.51216337081549,12.1516176478286,6,of,Harry Potter and the Goblet of Fire - J. K. Rowling
8,8.43534703930212,11.1492896484673,8.64431901901654,8.41205611427857,8.36874243985782,8.86637087694774,16.9980484613003,8.68094010499967,8.5119412628362,11.9329450329938,5,slytherin,Harry Potter and the Sorcerer's Stone - J. K. Rowling
9,8.32714803334515,11.3141838928591,8.60477110817421,8.22903488689657,8.08565628918901,8.86308447495303,17.5837484043818,8.38866453026789,8.42376181481426,12.179946565119,5,dursleys,Harry Potter and the Sorcerer's Stone - J. K. Rowling
10,8.36394619764653,9.06178864758184,8.52376281233539,8.44050311490337,8.41080271127703,8.87413164744051,20.8606742207339,8.77010070825863,8.89995420616134,9.7943357336615,7,bellatrix,Harry Potter and the Order of the Phoenix - J. K. Rowling
11,8.49555234244175,9.29922434155223,8.75260638862229,8.38049811769004,8.35982824602018,8.76045104410618,19.6641969627063,9.20447697303893,8.44849920090719,10.6346663829149,3,lucius,Harry Potter and the Chamber of Secrets - J. K. Rowling
12,8.96456401705189,9.86479352721344,8.58416389974799,8.67045637623797,8.99731772483113,9.15140262372942,17.2369449858307,8.84958735441948,9.2805162060414,10.4002532848966,1,fred,Harry Potter and the Order of the Phoenix - J. K. Rowling
13,8.38963813289339,9.21398546986037,8.70473239879482,8.74588788203811,8.7771292761589,9.1412878039513,17.7661673055504,9.00121634354732,8.8560483388785,11.4039070483269,1,bagman,Harry Potter and the Goblet of Fire - J. K. Rowling
14,8.59969403100822,11.8767508985492,8.70475316961519,8.38302094311646,8.50896541037321,8.89512670177212,16.0614396331355,8.65039779880798,8.62646988360008,11.6933815300221,4,hagrid,Harry Potter and the Sorcerer's Stone - J. K. Rowling
15,8.75382195336385,9.32219482298799,8.50502110697828,8.45217688819606,8.31890574689705,8.95994676329657,19.1939244712472,9.02341277282243,8.78556194618993,10.6850335280206,8,dursleys,Harry Potter and the Goblet of Fire - J. K. Rowling
16,8.50361714643581,9.39064925101471,8.8291209661831,8.60962909141536,8.7043382932174,8.88542586966169,18.9949307546456,8.79370169018485,8.84233707148548,10.446249865756,8,sirius,Harry Potter and the Order of the Phoenix - J. K. Rowling
17,7.47959556395534,9.42450603620047,7.96742296709301,7.95061481134664,8.11028715135173,8.80955063277522,22.0725225753826,8.04613152458759,8.21209060662287,11.9272781306846,0,privet,Harry Potter and the Deathly Hallows - J. K. Rowling
18,8.36394619764653,9.06178864758184,8.52376281233539,8.44050311490337,8.41080271127703,8.87413164744051,20.8606742207339,8.77010070825863,8.89995420616134,9.7943357336615,7,eater,Harry Potter and the Order of the Phoenix - J. K. Rowling
19,8.43888114898798,11.5628335561234,8.46726512988007,8.3392431302319,8.14527479132969,8.74610854929271,17.3792312100669,8.54053144307949,8.51569922509499,11.8649318159128,5,dumbledore,Harry Potter and the Sorcerer's Stone - J. K. Rowling
20,8.40009608951467,9.45832150817086,8.38801517091536,8.53600511622394,8.54138862362941,9.44478809469526,19.7743840645474,8.57074650984701,8.59495867035044,10.2912961521056,3,malfoy,Harry Potter and the Deathly Hallows - J. K. Rowling
21,8.61760284047384,9.39457013121367,8.63544879137236,8.66846219316497,8.5854772976164,9.85594115221828,18.227881723015,8.56209526363311,8.6136056921885,10.8389149151039,8,hogwarts,Harry Potter and the Half-Blood Prince - J. K. Rowling
22,8.2523670621865,8.83939458295452,8.82437234164357,8.29150571345259,8.68986633128304,8.26775181226494,16.9337971233228,8.6106066644023,8.58285701538434,14.7074813531054,2,mcgonagall,Harry Potter and the Prisoner of Azkaban - J. K. Rowling
23,8.58211427165213,9.15967701661373,8.53306894742016,8.54557867300689,8.47534584431803,8.77433691922018,21.1254972850508,8.5642945604766,8.47416814982068,9.76591833242078,7,gringotts,Harry Potter and the Deathly Hallows - J. K. Rowling
24,8.32611867392707,10.5443464043132,8.88268963706225,8.35552605143262,8.69835388741091,8.84767056417586,17.5389606955705,8.96502220405176,8.61544913829042,11.2258627437654,1,hall,Harry Potter and the Goblet of Fire - J. K. Rowling
25,8.55264501334007,9.72546471902651,8.93887440947221,8.55001238387473,8.33791439246683,9.20773905770152,16.1536246967884,8.72300406873199,8.89426412377358,12.9164571348241,9,peter,Harry Potter and the Prisoner of Azkaban - J. K. Rowling
26,8.99734419576206,10.0894969748868,8.64263352061046,8.70850581013472,8.93563571318807,9.12213477065936,17.1013118137636,8.81941766243239,9.22567367714955,10.3578458614129,1,george,Harry Potter and the Order of the Phoenix - J. K. Rowling
27,8.50879180438826,9.20680018758736,8.6873944753034,8.48918985484445,8.42188925172409,9.07597298269669,17.7460300632619,8.82002911109037,8.82964599047479,12.2142562786287,1,snape,Harry Potter and the Goblet of Fire - J. K. Rowling
28,8.76772407185861,9.66982267220912,8.41429442885958,8.57152452563796,8.63660430517787,9.08915387442782,18.7199351893986,8.98962957815692,8.71275885445185,10.4285524998217,8,against,Harry Potter and the Order of the Phoenix - J. K. Rowling
29,8.49593940551218,10.1588062414014,8.68651625017602,8.38884425144452,8.41596362790315,8.8885515751673,18.8260312067506,8.68442777177058,8.67529254525019,10.7796271246241,8,riddle,Harry Potter and the Goblet of Fire - J. K. Rowling
30,8.68184795052387,9.5062890193278,8.48492164039908,8.33478434600159,8.53682496000938,8.59758010028986,16.1123532358142,8.74516815397053,8.45480984469729,14.5454207489664,9,gryffindor,Harry Potter and the Prisoner of Azkaban - J. K. Rowling
31,8.76335220536238,9.04469006084275,8.52182853909813,8.44467500686979,8.08595781747315,8.97687970449261,19.774867932376,9.09832542749838,8.42649300470716,10.8629303012797,3,voldemort,Harry Potter and the Chamber of Secrets - J. K. Rowling
