peck,latent_,0,9.43677993996,HarryPotterandtheOrderofthePhoenix-J.K.Rowling,
data,latent_,0,9.70797838024,HarryPotterandthePrisonerofAzkaban-J.K.Rowling,
chudley,latent_,0,10.2969554171,HarryPotterandtheDeathlyHallows-J.K.Rowling,
dawn,latent_,0,4.69550040905,HarryPotterandtheDeathlyHallows-J.K.Rowling,
office,latent_,0,12.9456540973,HarryPotterandtheHalf-BloodPrince-J.K.Rowling,
crabbe,latent_,0,1.96863325442,HarryPotterandtheOrderofthePhoenix-J.K.Rowling,
floo,latent_,0,16.5279732304,HarryPotterandtheGobletofFire-J.K.Rowling,
j.,latent_,0,20.9109517966,HarryPotterandtheHalf-BloodPrince-J.K.Rowling,
michael,latent_,0,7.67084460534,HarryPotterandtheDeathlyHallows-J.K.Rowling,
defense,latent_,0,1.94627021747,HarryPotterandtheOrderofthePhoenix-J.K.Rowling,
chaser,latent_,0,3.40265985316,HarryPotterandtheOrderofthePhoenix-J.K.Rowling,
west,latent_,0,15.5751659226,HarryPotterandthePrisonerofAzkaban-J.K.Rowling,
grant,latent_,0,5.79879793985,HarryPotterandtheChamberofSecrets-J.K.Rowling,
knock-turn,latent_,0,18.0791635625,HarryPotterandtheChamberofSecrets-J.K.Rowling,
azkaban,latent_,0,12.737227367,HarryPotterandtheDeathlyHallows-J.K.Rowling,
gibbon,latent_,0,14.3826324736,HarryPotterandtheHalf-BloodPrince-J.K.Rowling,
arabella,latent_,0,6.85385942739,HarryPotterandtheHalf-BloodPrince-J.K.Rowling,
weasleys,latent_,0,8.7279567859,HarryPotterandtheDeathlyHallows-J.K.Rowling,
wrackspurt,latent_,0,16.0919409711,HarryPotterandtheDeathlyHallows-J.K.Rowling,
z.,latent_,0,12.0784309324,HarryPotterandtheChamberofSecrets-J.K.Rowling,
bradley,latent_,0,10.9161387649,HarryPotterandtheOrderofthePhoenix-J.K.Rowling,
pince,latent_,0,7.28439307366,HarryPotterandtheGobletofFire-J.K.Rowling,
body-bind,latent_,0,10.5495377558,HarryPotterandtheOrderofthePhoenix-J.K.Rowling,
mould-on-the-wold,latent_,0,5.79475904446,HarryPotterandtheDeathlyHallows-J.K.Rowling,
dudley,latent_,0,3.53484555608,HarryPotterandtheDeathlyHallows-J.K.Rowling,
h.,latent_,0,12.7345849563,HarryPotterandtheGobletofFire-J.K.Rowling,
lavender,latent_,0,11.0502593108,HarryPotterandtheDeathlyHallows-J.K.Rowling,
atrium,latent_,0,7.43021530157,HarryPotterandtheDeathlyHallows-J.K.Rowling,
thomas,latent_,0,5.17216223412,HarryPotterandtheGobletofFire-J.K.Rowling,
wilkie,latent_,0,11.1087132006,HarryPotterandtheHalf-BloodPrince-J.K.Rowling,
of,latent_,0,4.42678697603,HarryPotterandtheGobletofFire-J.K.Rowling,
apparated,latent_,0,8.27258675809,HarryPotterandtheGobletofFire-J.K.Rowling,
wizard,latent_,0,2.58703015173,HarryPotterandtheOrderofthePhoenix-J.K.Rowling,
vane,latent_,0,2.69785711782,HarryPotterandtheHalf-BloodPrince-J.K.Rowling,
kitchen,latent_,0,3.90258807454,HarryPotterandtheOrderofthePhoenix-J.K.Rowling,
sorcery,latent_,0,6.73780849224,HarryPotterandtheOrderofthePhoenix-J.K.Rowling,
warner,latent_,0,22.3503175846,HarryPotterandtheSorcerer'sStone-J.K.Rowling,
weasley,latent_,0,5.02440680919,HarryPotterandtheDeathlyHallows-J.K.Rowling,
ern,latent_,0,11.1681801316,HarryPotterandthePrisonerofAzkaban-J.K.Rowling,
minerva,latent_,0,2.92830541597,HarryPotterandtheOrderofthePhoenix-J.K.Rowling,
bush,latent_,0,15.1084806325,HarryPotterandthePrisonerofAzkaban-J.K.Rowling,
